#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1968,3,4.14 
'172426',1968,4,1.77 
'172426',1968,5,2.85 
'172426',1968,6,3.54 
'172426',1968,7,0.8 
'172426',1968,8,1.93 
'172426',1968,9,1.96 
'172426',1968,10,2.95 
'172426',1968,11,6.92 
'172426',1968,12,4.78 
'172426',1969,1,3.13 
'172426',1969,2,2.85 
'172426',1969,3,2.61 
'172426',1969,4,3.56 
'172426',1969,5,2.4 
'172426',1969,6,1.01 
'172426',1969,7,3.39 
'172426',1969,8,3.21 
'172426',1969,9,4.59 
'172426',1969,10,2 
'172426',1969,11,6.16 
'172426',1969,12,6.64 
'172426',1970,1,0.55 
'172426',1970,2,4.27 
'172426',1970,3,2.71 
'172426',1970,4,5.11 
'172426',1970,5,3.57 
'172426',1970,6,3.41 
'172426',1970,7,1.2 
'172426',1970,8,5.5 
'172426',1970,9,1.71 
'172426',1970,10,4.17 
'172426',1970,11,2.37 
'172426',1970,12,4.44 
'172426',1971,1,2.38 
'172426',1971,2,6.06 
'172426',1971,3,3.99 
'172426',1971,4,1.47 
'172426',1971,5,3.7 
'172426',1971,6,1.35 
'172426',1971,7,3.67 
'172426',1971,8,3.79 
'172426',1971,9,2.65 
'172426',1971,10,2.38 
'172426',1971,11,4.03 
'172426',1971,12,2.89 
'172426',1972,1,3.8 
'172426',1972,2,5.06 
'172426',1972,3,6.62 
'172426',1972,4,2.08 
'172426',1972,5,3.78 
'172426',1972,6,4.55 
'172426',1972,7,1.49 
'172426',1972,8,3.06 
'172426',1972,9,3.75 
'172426',1972,10,4.44 
'172426',1972,11,5.68 
'172426',1972,12,6.35 
'172426',1973,1,5.08 
'172426',1973,2,4.93 
'172426',1973,3,3.78 
'172426',1973,4,7.91 
